1202 12 3 1 1993 -7 -7 -7 -7 -7 -7 -7 -7 14 14 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 7 22 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
1601 16 3 1 1990 -7 -7 -7 -7 7 7 29 29 53 53 77 77 99 99 124 124 149 149 173 173 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 4 19 0 33 30 3 3 34 3 11 45 4 4 62 4 8 80 -7 100 67 122 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
1602 16 3 1 1993 -7 -7 -7 -7 -7 -7 -7 -7 11 11 35 35 57 57 82 82 107 107 131 131 156 152 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 2 23 3 3 30 3 7 37 4 0 50 54 60 56 70 -7 95 -7 80 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
1603 16 3 2 1996 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 20 20 45 45 70 70 94 94 119 115 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 11 25 3 2 30 45 45 50 61 -7 85 -7 70 140 139 -7 105 -7 105 166 161 -7 110 -7 110 -7 -7 -7 -7 -7 -7 532
1901 19 3 2 1987 -7 -7 7 7 31 31 -7 -7 80 80 -7 -7 129 129 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 1 19 3 3 33 -7 -7 -7 4 1 35 -7 -7 -7 4 11 55 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
2001 20 3 2 1990 -7 -7 -7 -7 1 1 23 23 48 48 71 71 94 94 120 120 145 145 169 169 -7 -7 -7 -7 -7 -7 -7 -7 -7 1 10 9 2 7 25 3 4 35 3 9 40 4 1 52 4 5 91 -7 120 63 110 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
2501 25 3 1 1990 -7 -7 -7 -7 -7 -7 21 21 44 44 66 66 90 90 114 114 140 139 164 164 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 0 33 28 3 2 37 3 8 50 4 2 64 4 5 85 -7 110 -7 165 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
2502 25 3 2 1993 -7 -7 -7 -7 -7 -7 -7 -7 12 12 33 33 57 57 81 81 106 106 130 130 153 151 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 3 26 3 0 32 3 7 40 3 10 50 -7 60 -7 95 -7 107 -7 98 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
2701 27 3 2 1988 -7 -7 5 5 28 28 52 52 76 76 98 98 123 122 147 147 171 171 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 11 28 3 41 40 3 11 45 4 3 64 4 9 81 5 0 115 -7 130 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
2702 27 3 1 1992 -7 -7 -7 -7 -7 -7 6 6 30 30 52 52 76 76 100 100 125 125 151 151 173 171 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 26 19 2 11 25 3 5 39 3 10 48 4 0 62 -7 104 60 122 -7 155 -7 120 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
3001 30 3 1 1982 41 41 71 71 93 93 114 114 142 142 161 161 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -3 42 -7 -7 1 -2 -2 88 -7 -7 88 5 1 -7 5 8 154 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
3002 30 3 1 1987 -7 -7 19 19 42 42 62 62 90 90 109 109 132 132 161 161 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 55 4 3 -7 4 10 110 5 2 95 5 8 160 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
3003 30 3 1 1991 -7 -7 -7 -7 -7 -7 8 8 36 36 55 55 78 78 106 106 128 128 -3 155 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 0 24 16 3 4 -7 3 7 66 4 4 55 4 11 80 -7 100 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
